Objectummer,Locatienaam,Lat,Long,Breedte,Effectieve  breedte
CMSA-GAKH-01,Kalverstraat t.h.v. 1,52.372634,4.892071,8,"6,7"
CMSA-GAWW-11,Korte Niezel,52.374616,4.89983,"3,8","3,4"
CMSA-GAWW-12,Oudekennissteeg,52.37386,4.89869,3,"2,6"
CMSA-GAWW-13,Stoofsteeg,52.372439,4.897689,"2,6","2,2"
CMSA-GAWW-14,Oudezijds Voorburgwal t.h.v. 91,52.373538,4.898166,4,"3,6"
CMSA-GAWW-15,Oudezijds Achterburgwal t.h.v. 86,52.372916,4.898207,"3,2","2,8"
CMSA-GAWW-16,Oudezijds Achterburgwal t.h.v. 91,52.372628,4.898233,"3,1","2,7"
CMSA-GAWW-17,Oudezijds Voorburgwal t.h.v. 206,52.372782,4.896649,"5,1","4,7"
CMSA-GAWW-19,Molensteeg,52.373587,4.899815,"2,9","2,5"
CMSA-GAWW-20,Oudebrugsteeg ,52.37535,4.89748,"5,7","5,3"
CMSA-GAWW-21,Damstraat,52.37193,4.8956,"9,7","9,3"
CMSA-GAWW-23,Bloedstraat,52.372764,4.899829,"5,7","5,3"
GACM-04,Damrak 1-5,52.377027,4.898059,7,"6,2"
GVCV-01,CS - ri. NDSM,52.380686,4.899041,"3,5","3,1"
GVCV-03,CS - ri. Buiksloterweg (West),52.380566,4.89936,"3,5","3,1"
GVCV-04,CS - ri. Buiksloterweg (Oost),52.380516,4.899524,"3,5","3,1"
GVCV-05-A,CS - ri. IJplein (West),52.378526,4.905811,"3,5","3,1"
GVCV-05-B,CS - ri. IJplein (Oost),52.378526,4.905811,"3,5","3,1"
GVCV-06,Azartplein,52.378101,4.937281,"3,5","3,1"
GVCV-07,Pontsteiger N (ri. NDSM),52.392143,4.885861,"3,5","3,1"
GVCV-08,Pontsteiger Z (ri. Distelweg),52.392029,4.886005,"3,5","3,1"
GVCV-09,Zeeburg,52.374414,4.949579,"3,5","3,1"
GVCV-11,NDSMkade,52.40106,4.891368,"3,5","3,1"
GVCV-13,Buiksloterweg,52.382352,4.903016,"3,5","3,1"
GVCV-14,Buiksloterweg,52.382169,4.903385,"3,5","3,1"
GASA-06,Azartplein B,52.37802,4.93715,,"3,1"
GASA-01-A1,IJBoulevardA1,52.38045,4.90031,,4
GASA-01-A2,IJBoulevardA2,52.38042,4.90028,,4
GASA-01-B,IJBoulevardB,52.38034,4.89992,,6
GASA-01-C,IJBoulevardC,52.38028,4.89985,,6
GASA-02-01,BrugOostertoegang1,52.37864,4.90472,,6
GASA-02-02,BrugOostertoegang2,52.37858,4.90466,,6
GASA-03,Oosterdoksbrug,52.37762,4.91101,,8
GASA-04,CSriOosterdokskade,52.37702,4.90352,,7
GASA-05-O,NoorderparkOost,52.38898,4.91963,,4
GASA-05-W,NoorderparkWest,52.38926,4.91893,,4
